Site,Bna,May,NH4x1,Phaeo.ax2,Prod.x3,Xw1,Yw2,X2w3
1,4.615,10.003,0.307,0.184,0.274,-8.75,3.70,765.625
2,5.226,9.999,0.207,0.212,0.213,-6.75,2.70,455.625
3,5.081,9.636,0.14,0.229,0.134,-5.75,1.70,330.625
4,5.278,8.331,1.371,0.287,0.177,-5.75,3.70,330.625
5,5.756,8.929,1.447,0.242,0.091,-3.75,2.70,140.625
6,5.328,8.839,0.668,0.531,0.272,-2.75,3.70,75.625
7,4.263,7.784,0.3,0.948,0.46,-1.75,0.70,30.625
8,5.442,8.023,0.329,1.389,0.253,-0.75,-0.30,0.5625
9,5.328,8.294,0.207,0.765,0.235,0.25,-1.30,0.0625
10,4.663,7.883,0.223,0.737,0.362,0.25,0.70,0.0625
11,6.775,9.741,0.788,0.454,0.824,0.25,2.70,0.0625
12,5.442,8.657,1.112,0.395,0.419,1.25,1.70,15.625
13,5.421,8.117,1.273,0.247,0.398,3.25,-4.30,105.625
14,5.602,8.117,0.956,0.449,0.172,3.25,-2.30,105.625
15,5.442,8.487,0.708,0.457,0.141,3.25,-1.30,105.625
16,5.303,7.955,0.637,0.386,0.36,4.25,-5.30,180.625
17,5.602,10.545,0.519,0.481,0.261,4.25,-4.30,180.625
18,5.505,9.687,0.247,0.468,0.45,4.25,-2.30,180.625
19,6.019,8.7,1.664,0.321,0.287,5.25,-0.30,275.625
20,5.464,10.24,0.182,0.38,0.51,6.25,-2.30,390.625
